ID1,ID2,ID3,Kt,theta0
3,2,0,35.0000,1.9111
4,10,2,35.0000,1.9111
6,2,0,35.0000,1.9111
6,2,3,35.0000,1.9111
7,10,2,35.0000,1.9111
7,10,4,33.0000,1.8815
9,11,1,33.0000,1.8815
10,2,0,35.0000,1.9111
10,2,3,35.0000,1.9111
10,2,6,35.0000,1.9111
12,15,5,33.0000,1.8815
15,24,13,37.5000,1.9321
17,11,1,33.0000,1.8815
17,11,9,33.0000,1.8815
18,19,8,35.0000,2.0944
20,22,11,80.0000,2.1014
21,25,14,33.0000,1.8815
22,11,1,35.0000,1.9111
22,11,9,35.0000,1.9111
22,11,17,35.0000,1.9111
23,25,14,35.0000,1.9111
23,25,21,35.0000,1.9111
24,15,5,37.5000,1.9321
24,15,12,37.5000,1.9321
24,27,16,80.0000,2.1014
26,15,5,33.0000,1.8815
26,15,12,33.0000,1.8815
26,15,24,37.5000,1.9321
27,24,13,35.0000,1.9111
27,24,15,63.0000,1.9391
28,19,8,35.0000,2.0909
28,19,18,35.0000,2.0909
29,28,19,80.0000,2.1450
30,10,2,80.0000,1.9408
30,10,4,37.5000,1.9321
30,10,7,37.5000,1.9321
31,23,25,55.0000,1.8937
32,30,10,37.5000,1.9321
34,44,30,37.5000,1.9321
36,47,28,35.0000,1.9111
37,45,35,35.0000,1.9111
38,37,33,80.0000,2.1991
39,45,35,33.0000,1.8815
39,45,37,35.0000,1.9111
40,30,10,37.5000,1.9321
40,30,32,33.0000,1.8815
43,44,30,37.5000,1.9321
43,44,34,33.0000,1.8815
44,30,10,58.3500,1.9670
44,30,32,37.5000,1.9321
44,30,40,37.5000,1.9321
45,37,33,70.0000,2.0420
45,37,38,70.0000,2.0420
46,22,11,70.0000,2.0351
46,22,20,80.0000,2.1450
47,28,19,70.0000,2.0351
47,28,29,80.0000,2.1014
49,69,48,33.0000,1.8815
50,24,13,35.0000,1.9111
50,24,15,80.0000,1.9146
50,24,27,63.0000,1.9216
51,47,28,35.0000,1.9111
51,47,36,33.0000,1.8815
53,27,16,80.0000,2.1450
53,27,24,70.0000,2.0351
53,67,41,35.0000,1.9111
54,75,52,33.0000,1.8815
55,66,42,33.0000,1.8815
56,46,22,35.0000,2.0909
57,58,25,37.5000,1.9321
58,25,14,37.5000,1.9321
58,25,21,37.5000,1.9321
58,25,23,50.0000,1.9111
61,71,50,80.0000,2.1450
63,50,24,38.0000,2.0665
67,53,27,50.0000,2.1276
68,70,58,50.0000,2.1276
68,80,46,63.0000,1.9216
69,86,62,37.5000,1.9321
70,58,25,80.0000,1.9146
70,58,57,35.0000,1.9111
70,68,60,80.0000,2.1450
71,50,24,50.0000,2.1276
71,50,63,35.0000,2.0909
73,53,27,35.0000,2.0909
73,53,67,38.0000,2.0665
74,66,42,33.0000,1.8815
74,66,55,33.0000,1.8815
75,102,67,58.3500,1.9670
78,88,58,80.0000,2.1014
79,70,58,38.0000,2.0665
79,70,68,35.0000,2.0909
80,46,22,50.0000,2.1276
80,46,56,38.0000,2.0665
80,68,60,80.0000,2.1014
80,68,70,70.0000,2.0351
81,80,46,35.0000,1.9111
