ID1,ID2,ID3,ID4,V1,V2,V3,V4
4,10,2,0,0.0000,0.0000,0.1305,0.0000
4,10,2,3,0.0000,0.0000,0.1305,0.0000
4,10,2,6,0.0000,0.0000,0.1305,0.0000
7,10,2,0,0.0000,0.0000,0.1305,0.0000
7,10,2,3,0.0000,0.0000,0.1305,0.0000
7,10,2,6,0.0000,0.0000,0.1305,0.0000
13,24,15,5,0.0000,0.0000,0.1500,0.0000
13,24,15,12,0.0000,0.0000,0.1500,0.0000
13,24,15,26,0.0000,0.0000,0.1500,0.0000
14,25,23,31,0.0000,0.0000,0.2250,0.0000
16,27,24,13,0.0000,0.0000,0.0000,0.0000
16,27,24,15,0.0000,0.0000,0.0000,0.0000
16,27,24,50,0.0000,0.0000,0.0000,0.0000
20,22,11,1,0.0000,0.0000,0.0000,0.0000
20,22,11,9,0.0000,0.0000,0.0000,0.0000
20,22,11,17,0.0000,0.0000,0.0000,0.0000
21,25,23,31,0.0000,0.0000,0.2250,0.0000
27,24,15,5,0.0000,0.0000,-0.0380,0.0000
27,24,15,12,0.0000,0.0000,-0.0380,0.0000
27,24,15,26,0.0000,0.0000,-0.0380,0.0000
29,28,19,8,0.0000,2.4500,0.0000,0.0000
29,28,19,18,0.0000,2.4500,0.0000,0.0000
30,10,2,0,0.0000,0.0000,0.1735,0.0000
30,10,2,3,0.0000,0.0000,0.1735,0.0000
30,10,2,6,0.0000,0.0000,0.1735,0.0000
32,30,10,2,0.0000,0.0000,0.1920,0.0000
32,30,10,4,0.0000,0.0000,0.1500,0.0000
32,30,10,7,0.0000,0.0000,0.1500,0.0000
34,44,30,10,0.0000,0.0000,0.1500,0.0000
34,44,30,32,0.0000,0.0000,0.1500,0.0000
34,44,30,40,0.0000,0.0000,0.1500,0.0000
35,45,37,33,0.0000,0.0000,0.0000,0.0000
35,45,37,38,0.0000,0.0000,0.0000,0.0000
36,47,28,19,0.0000,0.0000,0.0000,0.0000
36,47,28,29,0.0000,0.0000,0.0000,0.0000
39,45,37,33,0.0000,0.0000,0.0000,0.0000
39,45,37,38,0.0000,0.0000,0.0000,0.0000
40,30,10,2,0.0000,0.0000,0.1920,0.0000
40,30,10,4,0.0000,0.0000,0.1500,0.0000
40,30,10,7,0.0000,0.0000,0.1500,0.0000
41,67,53,27,0.0000,0.0000,0.0000,0.0000
41,67,53,73,0.0000,0.0000,0.0000,0.0000
43,44,30,10,0.0000,0.0000,0.1500,0.0000
43,44,30,32,0.0000,0.0000,0.1500,0.0000
43,44,30,40,0.0000,0.0000,0.1500,0.0000
44,30,10,2,1.3660,-0.1145,0.2425,0.0000
44,30,10,4,0.0000,0.0000,0.1500,0.0000
44,30,10,7,0.0000,0.0000,0.1500,0.0000
46,22,11,1,0.0000,0.0000,0.0000,0.0000
46,22,11,9,0.0000,0.0000,0.0000,0.0000
46,22,11,17,0.0000,0.0000,0.0000,0.0000
46,80,68,60,0.0000,0.0000,0.0000,0.0000
46,80,68,70,0.3715,1.2540,-0.4025,0.0000
47,28,19,8,0.0000,2.4500,0.0000,0.0000
47,28,19,18,0.0000,2.4500,0.0000,0.0000
50,24,15,5,0.0000,0.0000,0.2320,0.0000
50,24,15,12,0.0000,0.0000,0.2320,0.0000
50,24,15,26,0.0000,0.0000,0.2320,0.0000
51,47,28,19,0.0000,0.0000,0.0000,0.0000
51,47,28,29,0.0000,0.0000,0.0000,0.0000
53,27,24,13,0.0000,0.0000,0.0000,0.0000
53,27,24,15,0.9325,0.0445,0.1755,0.0000
53,27,24,50,0.3715,1.2540,-0.4025,0.0000
56,46,22,11,0.0000,2.4500,0.0000,0.0000
56,46,22,20,0.0000,2.4500,0.0000,0.0000
57,58,25,14,0.0000,0.0000,0.1500,0.0000
57,58,25,21,0.0000,0.0000,0.1500,0.0000
57,58,25,23,0.0000,0.0000,0.2340,0.0000
58,25,23,31,-0.4955,-0.4345,0.3695,0.0000
58,70,68,60,0.0000,3.0445,0.0000,0.0000
58,70,68,80,1.1500,3.0445,0.0000,0.0000
61,71,50,24,0.0000,3.0445,0.0000,0.0000
61,71,50,63,0.0000,2.4500,0.0000,0.0000
62,86,69,48,0.0000,0.0000,0.1500,0.0000
62,86,69,49,0.0000,0.0000,0.1500,0.0000
62,86,69,112,0.0000,0.0000,-0.2910,0.0000
63,50,24,13,0.0000,0.0000,0.0000,0.0000
63,50,24,15,0.0000,0.0000,0.0000,0.0000
63,50,24,27,0.0000,0.0000,0.0000,0.0000
67,53,27,16,0.0000,3.0445,0.0000,0.0000
67,53,27,24,1.1500,3.0445,0.0000,0.0000
67,102,75,52,0.0000,0.0000,0.1500,0.0000
67,102,75,54,0.0000,0.0000,0.1500,0.0000
67,102,75,111,-1.5925,-0.4125,0.2465,0.0000
68,70,58,25,0.2595,0.4385,2.6165,0.0000
68,70,58,57,0.0000,0.0000,0.0000,0.0000
68,70,58,88,-0.2980,0.1395,-2.4565,0.0000
68,80,46,22,-0.2980,0.1395,-2.4565,0.0000
68,80,46,56,0.0000,0.0000,0.0000,0.0000
70,58,25,14,0.0000,0.0000,0.2320,0.0000
70,58,25,21,0.0000,0.0000,0.2320,0.0000
70,58,25,23,2.7145,-0.4395,0.5290,0.0000
71,50,24,13,0.0000,0.0000,0.0000,0.0000
71,50,24,15,0.2595,0.4385,2.6165,0.0000
71,50,24,27,-0.2980,0.1395,-2.4565,0.0000
71,123,107,77,0.0000,0.0000,-0.0380,0.0000
71,123,107,82,0.0000,0.0000,-0.0380,0.0000
71,123,107,158,-0.3390,0.8265,0.0000,0.0000
73,53,27,16,0.0000,2.4500,0.0000,0.0000
73,53,27,24,0.0000,2.4500,0.0000,0.0000
75,102,67,41,0.0000,0.0000,0.1500,0.0000
75,102,67,53,1.7945,1.0600,-0.5300,0.0000
75,102,67,92,-0.7635,1.7030,0.0000,0.0000
76,113,93,59,0.0000,0.0000,0.2340,0.0000
76,113,93,120,2.7145,-0.4395,0.5290,0.0000
76,113,93,129,-2.8270,-0.4360,0.0000,0.0000
76,113,101,64,0.0000,0.0000,0.2340,0.0000
76,113,101,110,0.0000,0.0000,0.2340,0.0000
76,113,101,134,0.0000,0.0000,0.2340,0.0000
78,88,58,25,0.0000,0.0000,0.0000,0.0000
78,88,58,57,0.0000,0.0000,0.0000,0.0000
78,88,58,70,0.0000,0.0000,0.0000,0.0000
79,70,58,25,0.0000,0.0000,0.0000,0.0000
